FACIL,REC$TYPE,PROVINCE,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
695,A,82,5,Government/public,Rural,No,1492714,Health Center,Public,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes, , ,No,No,Yes,No,No,Yes,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No,3,5,0, , 
696,A,82,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No, ,No,Yes,.272727272727273,13,0,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,17,19,0,62,62
697,A,82,5,Government/public,Rural,No,1492714,Health Center,Public,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes, ,No,No,No,Yes,No,No,Yes,No,No,.363636363636364,8,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,4,10,0, , 
698,A,82,Health centre,4,Rural,Yes,116618,Hospital,Private/NGO,No,No,No,Yes,Yes,Yes,No,Yes, ,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,No, ,52,14,4,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,45,96,1,162,162
699,A,82,Health post,Private for profit,Rural,No,116618,Hospital,Private/NGO,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.363636363636364,2,0,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,4,10,1,7,7
700,A,Sud Ubangi,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,No,.636363636363636,21,6,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,48,55,0,236,236
701,A,Sud Ubangi,Health post,Government/public,Rural,No,793004,Hospital,Public,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.454545454545455,8,0,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, ,Yes,23,15,0,86,86
702,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,Yes,.545454545454545,29,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,70,52,1,82,82
703,A,Sud Ubangi,5,4,Rural,No,3353942,Health Center,Private/NGO,No,No,No,No,Yes,No, ,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,Yes,No,.272727272727273,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,5,5,0,4,4
704,A,Sud Ubangi,Health post,4,Rural,No,793004,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.363636363636364,7,1,0,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,42,16,0,103,103
705,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, , ,No,.363636363636364,2,1,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,Yes,4,4,0,7,7
706,A,Sud Ubangi,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
707,A,Sud Ubangi,Health post,Government/public,Rural,No,291546,Hospital,Public,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,Yes,No,.454545454545455,34,1,3,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,79,58,0,516,516
708,A,Sud Ubangi,5,Government/public,Urban,No,3353942,Health Center,Public,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.272727272727273,7,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,No, ,Yes,5,8,0,12,12
709,A,Sud Ubangi,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
710,A,Sud Ubangi,Health centre,4,Urban,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,Yes,.818181818181818,145,13,24,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,450,369,0,800,800
711,A,Sud Ubangi,5,4,Urban,No,3353942,Health Center,Private/NGO,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.545454545454545,7,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,Yes,18,13,0,46,46
712,A,Sud Ubangi,Health post,4,Rural,No,793004,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No, ,No,No,.636363636363636,11,2,3,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,30,24,0,205,205
713,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes, ,Yes,Yes,.636363636363636,22,4,2,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,79,60,0,328,328
714,A,Sud Ubangi,Health hut,4,Rural,No,291546,Health Center,Private/NGO,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.454545454545455,7,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No, ,Yes,14,14,0,52,52
715,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes,.454545454545455,2,0,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6,7,0, , 
716,A,Sud Ubangi,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
717,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,23,3,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,90,70,0,236,236
718,A,Sud Ubangi,5,4,Urban,No,3353942,Health Center,Private/NGO,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.454545454545455,7,5,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,16,0,10,10
719,A,Sud Ubangi,Health centre,4,Urban,No,116618,Hospital,Private/NGO,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,62,6,6,4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,310,132,2,433,433
720,A,Sud Ubangi,5,Private for profit,Urban,No,3353942,Health Center,Private/NGO, ,Yes,No,No,Yes,Yes, ,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,No,No, ,7,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No, ,Yes,20,9,2,14,14
721,A,Sud Ubangi,Health centre,Government/public,Urban,No,793004,Hospital,Public,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No, ,No,Yes,.363636363636364,37,2,3,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,59,59,0,101,101
722,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,No,Yes,.545454545454545,16,6,3,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,67,53,0,387,387
723,A,Sud Ubangi,5,Government/public,Rural,No,0,Health Center,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
724,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,Yes,.454545454545455,9,0,1,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No, ,Yes,32,17,0,60,60
725,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes, ,No,Yes,.272727272727273,23,1,3,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,80,54,1,216,216
726,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,Yes, ,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes, ,Yes,Yes,.727272727272727,53,0,2,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,150,107,0,368,368
727,A,Sud Ubangi,5,4,Rural,No,3353942,Health Center,Private/NGO,No,No,No,No,Yes,Yes, ,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,Yes,.181818181818182,3,0,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,7,6,0, , 
728,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,Yes,Yes,Yes,No,Yes,No, ,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.272727272727273,1,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,4,4,0, , 
729,A,Sud Ubangi,Health post,Private for profit,Rural,No,793004,Hospital,Private/NGO,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No, ,Yes,No,.272727272727273,9,3,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,20,23,0,27,27
730,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes,.545454545454545,13,2,1,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,54,32,0,150,150
731,A,Sud Ubangi,Health post,NGO/ Private not for profit,Rural,No,793004,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,No, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes, ,Yes, , ,9,3,1,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39,21,0,208,208
732,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,19,7,2,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,110,112,2,488,488
733,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,Yes,.636363636363636,3,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,9,0, , 
734,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,Yes,Yes,.636363636363636,17,7,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,70,86,0,245,245
735,A,Sud Ubangi,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
736,A,Sud Ubangi,5,4,Rural,No,3353942,Health Center,Private/NGO,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes, ,.454545454545455,5,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,No,30,11,0, , 
737,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,Yes,Yes,No,No,Yes,Yes, ,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,5,4,0, , 
738,A,Sud Ubangi,5,Private for profit,Rural,No,3353942,Health Center,Private/NGO,No,No,Yes,No,No,Yes,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,Yes,No,Yes, ,Yes,Yes, ,2,1,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,Yes,Yes,Yes,No, ,Yes,15,5,0,17,17
739,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,No,No,.272727272727273,21,3,3,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,53,50,0,69,69
740,A,Sud Ubangi,Health centre,4,9,9,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
741,A,Sud Ubangi,Health post,Government/public,Rural,No,793004,Hospital,Public,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,Yes,.454545454545455,41,2,3,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,61,72,0,150,150
742,A,Sud Ubangi,Health post,4,Rural,No,793004,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,No,Yes,.545454545454545,6,2,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No, ,Yes,18,14,0,89,89
743,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes, ,Yes,Yes,.636363636363636,45,5,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,Yes,Yes,122,85,1,557,557
744,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,No,No,Yes,No,Yes,No,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,Yes,Yes, ,3,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,5,10,0,14,14
745,A,Sud Ubangi,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
746,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,Yes,.545454545454545,19,1,2,0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,106,40,0, , 
747,A,Sud Ubangi,5,Government/public,Rural,No,3353942,Health Center,Public,Yes,No,Yes,No,No,Yes,No,No,No, ,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,No, ,6,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No, , ,No,8,11,0, , 
748,A,Sud Ubangi,5,4,Rural,No,3353942,Health Center,Private/NGO,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,No,.454545454545455,6,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7,14,0, , 
749,A,Sud Ubangi,5,NGO/ Private not for profit,Rural,No,3353942,Health Center,Private/NGO,Yes,No,No,No,Yes,No,No,No, ,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,Yes,No,No,No, ,Yes,Yes, ,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,Yes,7,9,0,88,88
750,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,24,9,3,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,72,65,0,224,224
751,A,Sud Ubangi,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.454545454545455,22,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,No,Yes,90,47,1,257,257
752,A,Sud Ubangi,Health post,Government/public,Rural,No,793004,Hospital,Public,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.636363636363636,5,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,15,15,0,198,198
753,A,Sud Ubangi,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,Yes,No, ,No,No,.363636363636364,17,3,2,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,64,29,0,210,210
754,A,Sud Ubangi,5,Government/public,Rural,No,0,Health Center,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
