FACIL,REC$TYPE,DEPART,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
759,A,Centre,7,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,No,No,Yes,Yes, ,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,1,2,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No, ,9,0, , 
761,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No,.545454545454545,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,Yes,Yes,No,2,6,0, , 
762,A,Centre,5,Government/public,Urban,No,996044,Health Center/post,Public,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,Yes,.454545454545455,3,18,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No, ,32,1, , 
763,A,Centre,6,Government/public,Rural,No,996044,Health Center/post,Public,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,Yes,Yes,.636363636363636,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No, ,10,0, , 
764,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,Yes,Yes,No, , , , ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No, , ,No, ,7,0, , 
765,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,Yes,Yes,Yes,No, ,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,Yes,.454545454545455,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,7,0, , 
766,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,No,Yes,Yes, ,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,Yes,.545454545454545,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, ,6,0, , 
767,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,No,Yes,Yes,No, ,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.545454545454545,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,Yes,Yes,No, ,9,0, , 
771,A,Centre,5,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Yes, ,.545454545454545,2,24,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,11,38,5,25,25
772,A,Centre,6,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,No,No,Yes,No,No, , , ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,No,No,No,Yes,No,No, ,1,5,2,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No, , ,No,1,10,0, , 
773,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,No,No,No,Yes, ,.727272727272727,3,7,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,No, ,26,1, , 
776,A,Centre,5,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.454545454545455,3,11,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,6,27,0,1,1
777,A,Centre,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes, ,No,Yes,No,No,No,No,No,No,Yes,.181818181818182,2,3,1,1,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,No, ,No, ,11,1, , 
778,A,Centre,7,NGO/ Private not for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
781,A,Centre,Hospital,Government/public,Urban,Yes,996044,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.909090909090909,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,350,2,0,446,446
784,A,Centre,7,Private for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,No,No, ,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No, ,No, ,No,No, ,No, ,17,0, , 
785,A,Centre,6,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No, , , ,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,Yes,No,No,No,No,Yes,No, ,2,4,0,4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No, , ,No, ,11,0, , 
786,A,Centre,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,No,.545454545454545,1,2,1,1,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,No, ,No, ,7,0, , 
787,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,No,Yes,Yes,Yes, ,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No, ,No,.454545454545455,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,Yes,No,No, ,22,0, , 
788,A,Centre,6,Government/public,Urban,No,996044,Health Center/post,Public,No,No,No,No,Yes,Yes,No,No,No, ,No,No,No,Yes,Yes,Yes,Yes,No,No,No, , ,No,No,No,No,No,No,Yes,No, ,0,1,0,1,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No, ,No, , ,No, ,2,0, , 
789,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public, ,Yes,Yes,Yes,Yes,Yes, ,No,No, ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No, ,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No, ,No, , ,No,1,23,0, , 
790,A,Centre,6,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes,Yes,Yes,No, ,5,7,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,3,14,2, , 
791,A,Centre,6,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,Yes,No, ,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.545454545454545,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No, ,Yes,No,No,Yes,Yes,No,2,3,0, , 
794,A,Centre,Health post,Private for profit,Rural,No,996044,Hospital,Private/NGO,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,11,44,9,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,70,104,5,58,58
795,A,Centre,5,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes, ,.727272727272727,7,18,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10,44,0,12,12
796,A,Centre,5,4,Rural,No,996044,Health Center/post,Private/NGO,No,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.636363636363636,1,4,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No,No, ,No, ,5,0, , 
797,A,Centre,5,4,Urban,No,996044,Health Center/post,Private/NGO,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No, ,No,Yes,No,No,No,No,Yes,No, ,.363636363636364,0,16,0,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,No,8,20,0, , 
798,A,Centre,6,Private for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No, , , ,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,No,No,Yes,No, ,1,3,1,2,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes, , ,No, ,9,0, , 
799,A,Centre,5,4,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,No,Yes,.363636363636364,4,43,9,8,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,59,68,0,15,15
801,A,Centre,5,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,Yes,Yes,Yes,No, , ,4,7,2,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,No,1,24,1, , 
802,A,Centre,Health post,Government/public,Urban,No,996044,Hospital,Public,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, , ,Yes,.454545454545455,8,18,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,25,73,0,38,38
803,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,Yes,Yes,No, ,No,No, ,No,No,No,Yes,No,Yes,No,Yes,Yes,No, , , , ,No,No,No,No,Yes,No, ,0,3,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No, ,No, , ,No, ,10,0, , 
804,A,Centre,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes, ,.545454545454545,2,12,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No,9,38,0, , 
805,A,Centre,7,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,Yes,No, , , , ,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No, ,0,4,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No, ,No, ,Yes, , ,No,1,10,0, , 
808,A,Centre,5,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,No,Yes,Yes,No,No,Yes, ,No,No,No,No,Yes,No,No,No,No,Yes,No, ,Yes,Yes,Yes,No,No,No, ,Yes,Yes, ,2,21,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,No, ,Yes,20,42,0,13,13
810,A,Centre,5,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes, ,Yes,Yes,.545454545454545,1,6,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,6,18,0,104,104
811,A,Centre,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,No,No,No,Yes,No,Yes,Yes,No,.636363636363636,0,3,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,No,2,8,0, , 
812,A,Centre,5,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,Yes, ,Yes,No, ,4,10,1,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,22,0,11,11
813,A,Sud,5,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,.818181818181818,1,5,0,2,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No, ,No, ,No,No, ,No, ,8,1, , 
814,A,Sud,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,Yes, ,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,No,No,No,No,No,No,Yes,Yes, ,1,4,1,1,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No, ,No, ,7,0, , 
815,A,Sud,7,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,No,No,No,No,No, , , ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,No, ,0,4,2,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No, , ,No, ,10,1, , 
816,A,Sud,Health post,Government/public,Urban,No,996044,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,28,118,1,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,124,167,0,272,272
817,A,Sud,Health hut,4,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,No,No,Yes, ,Yes,Yes,.727272727272727,7,30,4,4,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,Yes,38,45,0,135,135
818,A,Sud,Health hut,Private for profit,Rural,No,996044,Hospital,Private/NGO,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.818181818181818,6,12,1,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,17,21,4,51,51
819,A,Sud,5,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.636363636363636,9,19,5,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,64,55,4,3,3
820,A,Sud,6,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No,.363636363636364,3,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No, ,17,0, , 
821,A,Sud,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.0909090909090909,0,4,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No, ,4,0, , 
822,A,Sud,Health hut,4,Urban,Yes,996044,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.545454545454545,17,34,6,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,40,74,0,58,58
823,A,Sud,7,4,Rural,Yes,996044,Health Center/post,Private/NGO,No,Yes,Yes,Yes,No,No,Yes, , , ,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,No, ,1,4,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No, , ,No, ,7,0, , 
824,A,Sud,6,4,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No,.545454545454545,0,2,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,No, ,3,0, , 
825,A,Sud,Health hut,Government/public,Rural,No,996044,Hospital,Public,No,No,No,Yes,Yes,Yes,No,No,No, ,No,No,No,Yes,Yes,Yes,No,Yes,No,No, , , , ,No,No,No, ,No,No, ,3,6,0,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,No, ,No, , ,Yes,17,9,1,0,0
826,A,Sud,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No,.727272727272727,1,6,0,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,No, ,14,0, , 
829,A,Sud,6,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes,No,.545454545454545,4,7,1,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,10,15,0, , 
830,A,Sud,7,Private for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No, ,0,2,1,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No, ,No, , ,No, ,4,0, , 
832,A,Sud,5,Private for profit,Rural,No,996044,Health Center/post,Private/NGO,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,Yes,Yes,Yes, ,.545454545454545,0,8,1,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,6,12,0, , 
833,A,Sud,7,4,Rural,No,996044,Health Center/post,Private/NGO,No,No,No,Yes,Yes,Yes, ,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,Yes,No,.272727272727273,0,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No, ,No, ,No,No, ,No,1,2,0, , 
834,A,Sud,7,Government/public,Rural,No,996044,Health Center/post,Public,No,No,No,Yes,Yes,No, ,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.363636363636364,0,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No, ,3,0, , 
835,A,Sud,6,Government/public,Urban,No,996044,Health Center/post,Public,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,Yes,Yes,No, ,.818181818181818,1,8,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2,20,0, , 
836,A,Sud,5,Government/public,Rural,No,996044,Health Center/post,Public,Yes,No,No,Yes,Yes,No,No,No,No, ,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No, ,2,2,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No, ,No, ,No, , ,No,1,11,2, , 
839,A,Sud,5,Private for profit,Rural,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,Yes,No, ,No,No, ,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,2,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No, ,No, ,No, , ,No, ,2,0, , 
